,records,valid_accuracy,valid_atom_loss,train_loss,valid_loss,valid_noise_loss,_runtime,valid_atom_accuracy,valid_noise_accuracy,_step,epoch,_timestamp,train_accuracy
0,493200.0,,,2.9611241817474365,,,265.8017439842224,,,136,,1725730947.471072,0.06166666666666667
1,608400.0,,,2.9666860103607178,,,325.7384657859802,,,168,,1725731007.4077938,0.058333333333333334
2,806400.0,,,2.909990072250366,,,428.70909428596497,,,223,,1725731110.3784223,0.06916666666666667
3,1173600.0,,,2.858750581741333,,,619.8399167060852,,,325,,1725731301.5092447,0.09
4,1242000.0,,,2.8501198291778564,,,655.6350095272064,,,344,,1725731337.3043375,0.07972222222222222
5,1713627.0,,,2.9783122539520264,,,902.9829840660095,,,476,,1725731584.652312,0.14814814814814814
6,50400.0,,3.207571506500244,,,,1095.6476864814758,0.057777777777777775,,611,,1725731777.3170145,
7,136800.0,,3.2027840614318848,,,,1128.8571224212646,0.06388888888888888,,635,,1725731810.5264504,
8,162000.0,,3.2004055976867676,,,,1137.570071697235,0.06222222222222222,,642,,1725731819.2393997,
9,1944027.0,,,2.794100046157837,,,1325.0699090957642,,,749,,1725732006.739237,0.08972222222222222
10,2199627.0,,,2.738304376602173,,,1456.9274094104767,,,820,,1725732138.5967374,0.10888888888888888
11,2253627.0,,,2.711872100830078,,,1485.0504908561707,,,835,,1725732166.7198188,0.10888888888888888
12,2552427.0,,,2.540283441543579,,,1640.5932869911194,,,918,,1725732322.262615,0.15527777777777776
13,2624427.0,,,2.474360466003418,,,1678.2084312438965,,,938,,1725732359.8777592,0.17333333333333334
14,2833227.0,,,2.2748348712921143,,,1787.599952697754,,,996,,1725732469.2692807,0.23583333333333334
15,2890827.0,,,2.1702728271484375,,,1817.7175364494324,,,1012,,1725732499.3868644,0.2608333333333333
16,2988027.0,,,2.047767162322998,,,1868.7508118152618,,,1039,,1725732550.4201398,0.2972222222222222
17,3027627.0,,,2.0317740440368652,,,1889.6704535484314,,,1050,,1725732571.3397815,0.30833333333333335
18,3315627.0,,,1.7262840270996094,,,2041.1033174991608,,,1130,,1725732722.7726455,0.3925
19,1825227.0,0.4502777777777778,,,1.6068072319030762,,2149.113580942154,,,1194,,1725732830.782909,
20,1836027.0,0.4483333333333333,,,1.6155399084091187,,2153.1905443668365,,,1197,,1725732834.8598723,
21,1854027.0,0.45861111111111114,,,1.6239391565322876,,2159.723276615143,,,1202,,1725732841.3926046,
22,1944027.0,0.44805555555555554,,,1.6065024137496948,,2194.023181915283,,,1227,,1725732875.69251,
23,2048427.0,0.4633333333333333,,,1.5901185274124146,,2234.7242307662964,,,1256,,1725732916.3935587,
24,1742427.0,,2.5261852741241455,,,,2288.1060860157013,0.2313888888888889,,1291,,1725732969.775414,
25,1774827.0,,2.47405743598938,,,,2300.0995903015137,0.24027777777777778,,1300,,1725732981.7689183,
26,3999654.0,,,1.2639424800872803,,,2697.82169008255,,,1530,,1725733379.491018,0.5502777777777778
27,4240854.0,,,1.1589628458023071,,,2824.9360678195953,,,1597,,1725733506.6053958,0.5708333333333333
28,4320054.0,,,1.1219327449798584,,,2866.834548473358,,,1619,,1725733548.5038764,0.5966666666666667
29,4478454.0,,,1.0347824096679688,,,2951.061494588852,,,1663,,1725733632.7308226,0.615
30,4597254.0,,,1.0005524158477783,,,3014.216798067093,,,1696,,1725733695.886126,0.6402777777777777
31,4766454.0,,,0.946194589138031,,,3104.799306154251,,,1743,,1725733786.4686341,0.6511111111111111
32,4892454.0,,,0.8925070762634277,,,3172.9675164222717,,,1778,,1725733854.6368444,0.6755555555555556
33,4935654.0,,,0.8904739618301392,,,3195.9389691352844,,,1790,,1725733877.608297,0.6752777777777778
34,4960854.0,,,0.8749772310256958,,,3209.3443608283997,,,1797,,1725733891.0136888,0.6941666666666667
35,3740454.0,0.6536111111111111,,,0.9912379384040833,,3427.6140854358673,,,1936,,1725734109.2834134,
36,5317281.0,,,0.8339154720306396,,,3690.944145679474,,,2106,,1725734372.6134737,0.6975
37,5598081.0,,,0.7388430833816528,,,3834.324693441391,,,2184,,1725734515.9940214,0.7269444444444444
38,5749281.0,,,0.7176942229270935,,,3911.9298717975616,,,2226,,1725734593.5991998,0.7480555555555556
39,5878881.0,,,0.6645796298980713,,,3978.788626909256,,,2262,,1725734660.457955,0.7608333333333334
40,5896881.0,,,0.6314188241958618,,,3988.1255342960358,,,2267,,1725734669.7948623,0.7711111111111111
41,6134481.0,,,0.6095957159996033,,,4111.045571088791,,,2333,,1725734792.714899,0.7838888888888889
42,6544881.0,,,0.5662690997123718,,,4324.172772407532,,,2447,,1725735005.8421004,0.7941666666666667
43,5497281.0,0.6219444444444444,,,1.154628872871399,,4623.206433773041,,,2634,,1725735304.8757617,
44,5292081.0,,1.8790276050567627,,,,4711.4686760902405,0.4477777777777778,,2697,,1725735393.138004,
45,7056108.0,,,0.5464709997177124,,,4882.947417974472,,,2799,,1725735564.616746,0.8047222222222222
46,7059708.0,,,0.5768582224845886,,,4884.8095960617065,,,2800,,1725735566.478924,0.7891666666666667
47,7063308.0,,,0.5743527412414551,,,4886.669441461563,,,2801,,1725735568.3387694,0.7941666666666667
48,7164108.0,,,0.5478073954582214,,,4938.23717880249,,,2829,,1725735619.9065068,0.8058333333333333
49,7250508.0,,,0.48661863803863525,,,4982.511653423309,,,2853,,1725735664.1809814,0.8211111111111111
50,7671708.0,,,0.441488116979599,,,5199.498224020004,,,2970,,1725735881.167552,0.8391666666666666
51,7682508.0,,,0.43639031052589417,,,5205.0545337200165,,,2973,,1725735886.7238617,0.8519444444444444
