_step,train_accuracy,valid_noise_loss,epoch,valid_accuracy,valid_noise_accuracy,_runtime,_timestamp,valid_atom_accuracy,valid_atom_loss,records,train_loss,valid_loss
0,0.06138888888888889,,,,,13.021809101104736,1725643146.3117092,,,3600.0,3.10007381439209,
1,0.06416666666666666,,,,,14.866456031799316,1725643148.156356,,,7200.0,3.101696491241455,
2,0.065,,,,,16.82960820198059,1725643150.1195083,,,10800.0,3.106963872909546,
3,0.05361111111111111,,,,,18.67196011543274,1725643151.9618602,,,14400.0,3.1139538288116455,
4,0.05361111111111111,,,,,20.543142318725586,1725643153.8330424,,,18000.0,3.095364809036255,
5,0.056666666666666664,,,,,22.3456609249115,1725643155.635561,,,21600.0,3.1225178241729736,
6,0.06194444444444445,,,,,24.14523458480835,1725643157.4351346,,,25200.0,3.0841033458709717,
7,0.059722222222222225,,,,,25.94490909576416,1725643159.2348092,,,28800.0,3.0555853843688965,
8,0.06194444444444445,,,,,27.74834942817688,1725643161.0382495,,,32400.0,3.1014914512634277,
9,0.06138888888888889,,,,,29.55057168006897,1725643162.8404717,,,36000.0,3.0806033611297607,
10,0.06138888888888889,,,,,31.509650945663452,1725643164.799551,,,39600.0,3.092085599899292,
11,0.06166666666666667,,,,,33.64685297012329,1725643166.936753,,,43200.0,3.0711452960968018,
12,0.059444444444444446,,,,,35.64723038673401,1725643168.9371305,,,46800.0,3.0772175788879395,
13,0.059166666666666666,,,,,37.37744069099426,1725643170.6673408,,,50400.0,3.076397180557251,
14,0.059722222222222225,,,,,39.114715337753296,1725643172.4046154,,,54000.0,3.061436414718628,
15,0.058055555555555555,,,,,40.860201597213745,1725643174.1501017,,,57600.0,3.072096824645996,
16,0.06555555555555556,,,,,42.64668416976929,1725643175.9365842,,,61200.0,3.052311897277832,
17,0.06416666666666666,,,,,44.39463543891907,1725643177.6845355,,,64800.0,3.0668282508850098,
18,0.058611111111111114,,,,,46.1377649307251,1725643179.427665,,,68400.0,3.049265146255493,
19,0.06305555555555556,,,,,47.88052773475647,1725643181.1704278,,,72000.0,3.066521167755127,
20,0.06388888888888888,,,,,49.620577573776245,1725643182.9104776,,,75600.0,3.0356462001800537,
21,0.06416666666666666,,,,,51.34991502761841,1725643184.639815,,,79200.0,3.063431978225708,
22,0.06527777777777778,,,,,53.17103862762451,1725643186.4609387,,,82800.0,3.0608837604522705,
23,0.059444444444444446,,,,,55.01474928855896,1725643188.3046494,,,86400.0,3.060866117477417,
24,0.065,,,,,56.79934763908386,1725643190.0892477,,,90000.0,3.0619289875030518,
25,0.06111111111111111,,,,,58.5912721157074,1725643191.8811722,,,93600.0,3.0781450271606445,
26,0.06444444444444444,,,,,60.38844656944275,1725643193.6783466,,,97200.0,3.0479443073272705,
27,0.0675,,,,,62.17071747779846,1725643195.4606175,,,100800.0,3.0403566360473633,
28,0.06194444444444445,,,,,63.94540190696716,1725643197.235302,,,104400.0,3.040438175201416,
29,0.06833333333333333,,,,,65.77491354942322,1725643199.0648136,,,108000.0,3.0253899097442627,
30,0.06333333333333334,,,,,67.57609009742737,1725643200.8659902,,,111600.0,3.0573980808258057,
31,0.059722222222222225,,,,,69.37599515914917,1725643202.6658952,,,115200.0,3.0424678325653076,
32,0.06222222222222222,,,,,71.18133330345154,1725643204.4712334,,,118800.0,3.046281099319458,
33,0.059166666666666666,,,,,72.97256779670715,1725643206.2624679,,,122400.0,3.0290112495422363,
34,0.06055555555555556,,,,,74.9901990890503,1725643208.2800992,,,126000.0,3.063911199569702,
35,0.057777777777777775,,,,,77.2857825756073,1725643210.5756826,,,129600.0,3.065178871154785,
36,0.0636111111111111,,,,,79.15124678611755,1725643212.4411469,,,133200.0,3.0281548500061035,
37,0.059722222222222225,,,,,80.90469336509705,1725643214.1945934,,,136800.0,3.0303823947906494,
38,0.058888888888888886,,,,,82.6470456123352,1725643215.9369457,,,140400.0,3.0438365936279297,
39,0.06055555555555556,,,,,84.39449214935303,1725643217.6843922,,,144000.0,3.017692804336548,
40,0.06805555555555555,,,,,86.14425563812256,1725643219.4341557,,,147600.0,3.0201849937438965,
41,0.06444444444444444,,,,,87.89584875106812,1725643221.1857488,,,151200.0,3.0249452590942383,
42,0.060833333333333336,,,,,89.65310597419739,1725643222.943006,,,154800.0,3.03991961479187,
43,0.06277777777777778,,,,,91.40980577468872,1725643224.6997058,,,158400.0,3.0391664505004883,
44,0.06277777777777778,,,,,93.16288924217224,1725643226.4527893,,,162000.0,3.013888120651245,
45,0.05388888888888889,,,,,94.90490937232971,1725643228.1948094,,,165600.0,3.047283887863159,
46,0.06388888888888888,,,,,96.72921180725098,1725643230.0191119,,,169200.0,3.0190179347991943,
47,0.060833333333333336,,,,,98.59003591537476,1725643231.879936,,,172800.0,3.035660743713379,
48,0.06694444444444445,,,,,100.37629866600037,1725643233.6661987,,,176400.0,3.010927200317383,
49,0.0636111111111111,,,,,102.19681525230408,1725643235.4867153,,,180000.0,2.993122100830078,
50,0.06027777777777778,,,,,103.98738384246826,1725643237.277284,,,183600.0,3.032332420349121,
51,0.06555555555555556,,,,,105.77060174942017,1725643239.0605018,,,187200.0,3.0556318759918213,
52,0.06555555555555556,,,,,107.53862261772156,1725643240.8285227,,,190800.0,3.0275096893310547,
53,0.06583333333333333,,,,,109.31345510482788,1725643242.6033552,,,194400.0,3.020669937133789,
54,0.06555555555555556,,,,,111.10319328308105,1725643244.3930933,,,198000.0,3.0293612480163574,
55,0.06305555555555556,,,,,112.91166520118713,1725643246.2015653,,,201600.0,3.0288033485412598,
56,0.06888888888888889,,,,,114.70633792877197,1725643247.996238,,,205200.0,3.015826463699341,
57,0.06944444444444445,,,,,116.64402914047241,1725643249.9339292,,,208800.0,3.000122308731079,
