epoch,valid_noise_accuracy,records,train_accuracy,valid_atom_accuracy,valid_atom_loss,valid_noise_loss,_step,_timestamp,valid_loss,_runtime,train_loss,valid_accuracy
,,3800.0,0.06,,,,0,1725425099.6923587,,101.65134477615356,3.1075284481048584,
,,3500.0,0.05885714285714286,,,,1,1725425693.5737996,,522.0126836299896,3.0975069999694824,
,,7000.0,0.06085714285714286,,,,2,1725425697.933235,,526.3721189498901,3.069088935852051,
,,10500.0,0.05228571428571428,,,,3,1725425700.059316,,528.4981999397278,3.114234209060669,
,,14000.0,0.057428571428571426,,,,4,1725425702.4231424,,530.8620264530182,3.0739388465881348,
,,17500.0,0.06342857142857143,,,,5,1725425704.5550673,,532.9939513206482,3.069349527359009,
,,21000.0,0.06571428571428571,,,,6,1725425706.6658182,,535.1047022342682,3.089777708053589,
,,24500.0,0.057428571428571426,,,,7,1725425708.7652128,,537.2040967941284,3.077194929122925,
,,28000.0,0.05857142857142857,,,,8,1725425710.8919153,,539.3307993412018,3.0654098987579346,
,,31500.0,0.061142857142857145,,,,9,1725425713.0280058,,541.4668898582458,3.0727970600128174,
,,35000.0,0.055142857142857146,,,,10,1725425715.2171957,,543.6560797691345,3.0666887760162354,
,,38500.0,0.056857142857142856,,,,11,1725425717.3385644,,545.7774484157562,3.0777535438537598,
,,42000.0,0.06685714285714285,,,,12,1725425719.4914677,,547.9303517341614,3.0507357120513916,
,,45500.0,0.06628571428571428,,,,13,1725425721.5547254,,549.9936094284058,3.0557711124420166,
,,49000.0,0.06314285714285714,,,,14,1725425723.7405517,,552.1794357299805,3.0632572174072266,
,,52500.0,0.06028571428571428,,,,15,1725425725.8835106,,554.3223946094513,3.072629451751709,
,,56000.0,0.062,,,,16,1725425727.9715247,,556.4104087352753,3.074572801589966,
,,59500.0,0.06342857142857143,,,,17,1725425730.1471946,,558.5860786437988,3.042740821838379,
,,63000.0,0.06142857142857143,,,,18,1725425732.1318274,,560.5707113742828,3.060748338699341,
,,66500.0,0.06628571428571428,,,,19,1725425734.2266998,,562.6655838489532,3.043614625930786,
,,70000.0,0.055142857142857146,,,,20,1725425736.3216083,,564.7604923248291,3.0590322017669678,
,,73500.0,0.05914285714285714,,,,21,1725425738.5009165,,566.9398005008698,3.0955262184143066,
,,77000.0,0.06257142857142857,,,,22,1725425740.5814164,,569.0203003883362,3.0320632457733154,
,,80500.0,0.06457142857142857,,,,23,1725425742.667315,,571.1061990261078,3.0241947174072266,
,,84000.0,0.05942857142857143,,,,24,1725425744.8572133,,573.296097278595,3.0499346256256104,
,,87500.0,0.06142857142857143,,,,25,1725425747.155126,,575.5940101146698,3.070600748062134,
